"","X","sensor_id","sensor_type","location","lat","lon","timestamp","P1","durP1","ratioP1","P2","durP2","ratioP2"
"1",1,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:01:02",44.83,NA,NA,18.3,NA,NA
"2",2,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:03:28",39.8,NA,NA,18.95,NA,NA
"3",3,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:05:53",37.5,NA,NA,18.98,NA,NA
"4",4,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:08:19",34.92,NA,NA,17.7,NA,NA
"5",5,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:10:44",35.13,NA,NA,18.73,NA,NA
"6",6,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:13:10",37.25,NA,NA,17.85,NA,NA
"7",7,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:15:36",37.42,NA,NA,18.85,NA,NA
"8",8,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:18:02",40.83,NA,NA,19.2,NA,NA
"9",9,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:20:28",39.35,NA,NA,19,NA,NA
"10",10,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:22:54",42.9,NA,NA,18.92,NA,NA
"11",11,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:25:20",36.63,NA,NA,18.55,NA,NA
"12",12,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:27:45",35.85,NA,NA,18.42,NA,NA
"13",13,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:30:11",43.05,NA,NA,19,NA,NA
"14",14,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:32:39",43.63,NA,NA,19.17,NA,NA
"15",15,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:35:08",42.53,NA,NA,18.67,NA,NA
"16",16,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:37:36",35.22,NA,NA,17.83,NA,NA
"17",17,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:40:03",40.75,NA,NA,19,NA,NA
"18",18,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:42:29",42.47,NA,NA,19.58,NA,NA
"19",19,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:44:55",39.13,NA,NA,18.98,NA,NA
"20",20,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:47:21",42.5,NA,NA,19.9,NA,NA
"21",21,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:49:46",39.3,NA,NA,20.13,NA,NA
"22",22,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:52:12",43.92,NA,NA,20.75,NA,NA
"23",23,34719,"SDS011",20946,52.51,13.318,"2021-09-29 00:54:39",39.15,NA,NA,20,NA,NA
